target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL1293227,Homo sapiens,None,None,3608158,Potency,None,Ubiquitin carboxyl-terminal hydrolase 2,CHEMBL1614474,BAO_0000019,4.7,
CHEMBL1293235,Homo sapiens,None,None,3638757,Potency,None,Prelamin-A/C,CHEMBL1614544,BAO_0000019,5.25,PUBCHEM_BIOASSAY: qHTS Assay for Modulators of Lamin A Splicing. (Class of assay: confirmatory) 
CHEMBL2284,Homo sapiens,None,None,3775882,Potency,None,Glyceraldehyde-3-phosphate dehydrogenase liver,CHEMBL1613955,BAO_0000019,4.2,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Fructose-1,6-bisphosphate Aldolase from Giardia Lamblia: Coupling assay counterscreen confirmation. (Class of assay: confirmatory) [Related pubchem assays: 2451, 2472, 2464 ]"
CHEMBL1293299,Homo sapiens,None,None,3790407,Potency,None,Histone-lysine N-methyltransferase MLL,CHEMBL1614410,BAO_0000019,4.75,PUBCHEM_BIOASSAY: qHTS Fluorescence Polarization Assay for Inhibitors of MLL CXXC domain - DNA interaction. (Class of assay: confirmatory) [Related pubchem assays: 2698 (Summary assay.)]
CHEMBL5619,Homo sapiens,None,None,3798946,Potency,None,DNA-(apurinic or apyrimidinic site) lyase,CHEMBL1614466,BAO_0000019,7.3,
CHEMBL1293224,Homo sapiens,None,None,3973407,Potency,None,Microtubule-associated protein tau,CHEMBL1614502,BAO_0000019,4.9,
CHEMBL1293224,Homo sapiens,None,None,4046837,Potency,None,Microtubule-associated protein tau,CHEMBL1614421,BAO_0000357,5.1,"PUBCHEM_BIOASSAY: qHTS for Inhibitors of Tau Fibril Formation, Thioflavin T Binding. (Class of assay: confirmatory) [Related pubchem assays: 596 ]"
CHEMBL1075145,Homo sapiens,None,None,4277678,IC50,None,Transitional endoplasmic reticulum ATPase,CHEMBL1614506,BAO_0000357,5.38,"PUBCHEM_BIOASSAY: Dose response biochemical high throughput screening assay for inhibitors of the p97 ATPase. (Class of assay: confirmatory) [Related pubchem assays: 1481, 1517 ]"
CHEMBL6110,Schistosoma mansoni,None,None,4318374,Potency,None,Thioredoxin glutathione reductase,CHEMBL1614161,BAO_0000019,4.55,
CHEMBL1293248,Bacillus subtilis,None,None,4381604,Potency,None,4'-phosphopantetheinyl transferase ffp,CHEMBL1614174,BAO_0000019,5.35,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Bacillus subtilis Sfp phosphopantetheinyl transferase (PPTase). (Class of assay: confirmatory) 
CHEMBL1293224,Homo sapiens,None,None,4504738,Potency,None,Microtubule-associated protein tau,CHEMBL1614250,BAO_0000019,4.9,"PUBCHEM_BIOASSAY: qHTS for Inhibitors of Tau Fibril Formation, Fluorescence Polarization. (Class of assay: confirmatory) [Related pubchem assays: 596 ]"
CHEMBL4695,Oryctolagus cuniculus,None,None,4588155,Potency,None,Fructose-bisphosphate aldolase A,CHEMBL1614272,BAO_0000019,4.1,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Fructose-1,6-bisphosphate Aldolase from Giardia Lamblia: Rabbit FBPA Selectivity. (Class of assay: confirmatory) [Related pubchem assays: 2451, 2472, 2464 ]"
CHEMBL1293234,Giardia intestinalis,None,None,4590790,Potency,None,"Putative fructose-1,6-bisphosphate aldolase",CHEMBL1614259,BAO_0000019,4.85,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Fructose-1,6-bisphosphate Aldolase from Giardia Lamblia: Primary screen confirmation. (Class of assay: confirmatory) [Related pubchem assays: 2451, 2472, 2464 ]"
CHEMBL1293234,Giardia intestinalis,None,None,4607639,Potency,None,"Putative fructose-1,6-bisphosphate aldolase",CHEMBL1614275,BAO_0000019,6.3,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Fructose-1,6-bisphosphate Aldolase from Giardia Lamblia. (Class of assay: confirmatory) [Related pubchem assays: 2472, 2464 ]"
CHEMBL1287622,Homo sapiens,None,None,4624097,Potency,None,Lethal(3)malignant brain tumor-like protein 1,CHEMBL1614280,BAO_0000019,7.0,PUBCHEM_BIOASSAY: qHTS Assay for the Inhibitors of L3MBTL1. (Class of assay: confirmatory) [Related pubchem assays: 485292 (Probe Development Summary for Inhibitors of L3MBTL1)]
CHEMBL4361,Homo sapiens,None,None,4726035,IC50,None,Induced myeloid leukemia cell differentiation protein Mcl-1,CHEMBL1614529,BAO_0000019,5.35,PUBCHEM_BIOASSAY: Dose Response Confirmation for Mcl-1/Noxa Interaction Inhibitors. (Class of assay: confirmatory) [Related pubchem assays: 1022 (Primary screen preceding this dose-response assay.)]
CHEMBL1293255,Homo sapiens,None,None,4816502,Potency,None,15-hydroxyprostaglandin dehydrogenase [NAD+],CHEMBL1614038,BAO_0000019,5.75,
CHEMBL2608,Homo sapiens,None,None,4926447,Potency,None,Lysosomal alpha-glucosidase,CHEMBL1614076,BAO_0000019,5.35,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Activators of Human alpha-Glucosidase Cleavage of Glycogen. (Class of assay: confirmatory) [Related pubchem assays: 1473, 1466 ]"
CHEMBL1293237,Homo sapiens,None,None,4929948,Potency,None,Bloom syndrome protein,CHEMBL1614067,BAO_0000019,5.25,
CHEMBL2392,Homo sapiens,None,None,5027304,Potency,None,DNA polymerase beta,CHEMBL1614079,BAO_0000019,6.8,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of DNA Polymerase Beta. (Class of assay: confirmatory) 
CHEMBL2095202,Homo sapiens,None,None,5651917,IC50,None,"Troponin, cardiac muscle",CHEMBL1738244,BAO_0000223,6.17,
