target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL347,Streptococcus pneumoniae,J. Med. Chem.,2001,34943,IC50,CLARITHROMYCIN,Streptococcus pneumoniae,CHEMBL809733,BAO_0000218,7.05,Cell free inhibiting activity against Streptococcus pneumoniae 5635(Wild type ribosomes for transcription/translation assay)
CHEMBL240,Homo sapiens,Bioorg. Med. Chem. Lett.,2003,1054247,IC50,CLARITHROMYCIN,HERG,CHEMBL766814,BAO_0000219,4.23,Inhibition of human Potassium channel HERG expressed in mammalian cells
CHEMBL240,Homo sapiens,Bioorg. Med. Chem. Lett.,2003,1054248,IC50,CLARITHROMYCIN,HERG,CHEMBL766815,BAO_0000219,4.48,Inhibition of K+ channel activity in mammalian cells expressing HERG Kv11.1
CHEMBL240,Homo sapiens,Bioorg. Med. Chem. Lett.,2004,1448465,IC50,CLARITHROMYCIN,HERG,CHEMBL827807,BAO_0000357,4.34,Inhibitory concentration against IKr potassium channel
CHEMBL240,Homo sapiens,Bioorg. Med. Chem. Lett.,2005,1523843,IC50,CLARITHROMYCIN,HERG,CHEMBL829152,BAO_0000357,4.23,Inhibitory concentration against potassium channel HERG
CHEMBL240,Homo sapiens,Bioorg. Med. Chem.,2008,2358317,IC50,CLARITHROMYCIN,HERG,CHEMBL954102,BAO_0000219,4.23,Inhibition of human ERG expressed in CHO cells by whole cell patch clamp technique
CHEMBL612545,None,None,None,4690392,IC50,CLARITHROMYCIN,Unchecked,CHEMBL1613791,BAO_0000019,4.53,"PUBCHEM_BIOASSAY: A counter screen for small molecule screen for inhibitors of the PhoP region in Salmonella typhi. (Class of assay: confirmatory) [Related pubchem assays: 1850, 1864, 2252, 1985 ]"
CHEMBL4040,Homo sapiens,None,None,4713598,Potency,CLARITHROMYCIN,MAP kinase ERK2,CHEMBL1614521,BAO_0000019,5.4,PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of the ERK Signaling Pathway using a Homogeneous Screening Assay; Stimulation with EGF. (Class of assay: confirmatory) [Related pubchem assays: 995 ]
CHEMBL612545,None,None,None,4992728,IC50,CLARITHROMYCIN,Unchecked,CHEMBL1614100,BAO_0000019,4.28,"PUBCHEM_BIOASSAY: A small molecule screen for inhibitors of the PhoP region in Salmonella typhi. (Class of assay: confirmatory) [Related pubchem assays: 1864, 2252, 1985 ]"
CHEMBL340,Homo sapiens,Curr. Drug Metab.,2005,6075111,Ki,CLARITHROMYCIN,Cytochrome P450 3A4,CHEMBL1743430,BAO_0000357,5.26,Mechanism based inhibition of human cytochrome P450 3A4
CHEMBL612888,Toxoplasma gondii,J. Med. Chem.,2011,6184837,IC50,CLARITHROMYCIN,Toxoplasma gondii,CHEMBL1775524,BAO_0000218,4.51,Antiparasitic activity against Toxoplasma gondii 2F-1 expressing yellow fluorescent protein infected in HFF after 4 days
CHEMBL354,Escherichia coli,None,None,6850208,AC50,CLARITHROMYCIN,Escherichia coli,CHEMBL1794494,BAO_0000218,4.64,
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001012,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2076213,BAO_0000219,4.82,TP_TRANSPORTER: inhibition of Rhodamine 123 efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001356,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2078544,BAO_0000219,4.62,TP_TRANSPORTER: inhibition of Tetramethylrosamine efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001419,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2076218,BAO_0000219,5.42,TP_TRANSPORTER: inhibition of Daunorubicin efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001776,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2078545,BAO_0000219,4.3,TP_TRANSPORTER: inhibition of JC-1 efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001792,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2078547,BAO_0000219,4.25,TP_TRANSPORTER: inhibition of Calcein-AM efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001841,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2076214,BAO_0000219,5.14,TP_TRANSPORTER: inhibition of LDS-751 efflux in NIH-3T3-G185 cells
CHEMBL4302,Homo sapiens,Biochem. Biophys. Res. Commun.,2001,11001887,IC50,CLARITHROMYCIN,P-glycoprotein 1,CHEMBL2078546,BAO_0000219,4.06,TP_TRANSPORTER: inhibition of Fluo-3-AM efflux in NIH-3T3-G185 cells
CHEMBL1743121,Homo sapiens,Mol. Pharmacol.,2013,13798621,IC50,CLARITHROMYCIN,Solute carrier organic anion transporter family member 1B3,CHEMBL3039492,BAO_0000219,5.48,pIC50 values for sodium fluorescein (10 uM) uptake in OATP1B3-transfected CHO cells
CHEMBL1697668,Homo sapiens,Mol. Pharmacol.,2013,13800620,IC50,CLARITHROMYCIN,Solute carrier organic anion transporter family member 1B1,CHEMBL3039489,BAO_0000219,5.51,pIC50 values for sodium fluorescein (10 uM) uptake in OATP1B1-transfected CHO cells
