target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL378,Human immunodeficiency virus 1,Bioorg. Med. Chem. Lett.,1992,661727,IC50,CORILAGIN,Human immunodeficiency virus 1,CHEMBL683819,BAO_0000218,4.82,Anti-HIV activity in cell culture assay expressed as IC50 values.
CHEMBL378,Human immunodeficiency virus 1,Bioorg. Med. Chem. Lett.,1992,661728,EC50,CORILAGIN,Human immunodeficiency virus 1,CHEMBL688527,BAO_0000218,4.82,Anti-HIV activity in cell culture assay expressed as EC50 values.
CHEMBL2093867,Homo sapiens,Bioorg. Med. Chem. Lett.,1992,946780,IC50,CORILAGIN,Protein kinase C (PKC),CHEMBL769344,BAO_0000224,4.7,Inhibitory activity against protein kinase C (PKC)
CHEMBL2094266,Rattus norvegicus,J. Med. Chem.,1994,963734,IC50,CORILAGIN,Protein kinase C (PKC),CHEMBL767465,BAO_0000019,4.7,Inhibitory activity against protein kinase C of rat brain
CHEMBL4241,Rattus norvegicus,J. Nat. Prod.,2001,2197689,IC50,CORILAGIN,Squalene monooxygenase,CHEMBL947712,BAO_0000019,5.4,Inhibition of C-terminal hexahistidine-tagged rat recombinant squalene epoxidase without N-terminal putative membrane domain expressed in Escherichia coli
CHEMBL1781,Homo sapiens,J. Nat. Prod.,1992,2309955,IC50,CORILAGIN,DNA topoisomerase I,CHEMBL956189,BAO_0000357,4.4,Inhibition of human COLO201 cellular topoisomerase-1 mediated plasmid DNA cleavage by electrophoresis in presence of 70 units of enzyme
CHEMBL379,Hepatitis C virus,Bioorg. Med. Chem. Lett.,2012,8012543,EC50,CORILAGIN,Hepatitis C virus,CHEMBL1942349,BAO_0000218,4.87,Antiviral activity against Hepatitis C virus infected in human Huh7.5 cells assessed as inhibition of viral replication after 96 hrs by quantitative RT-PCR analysis
CHEMBL612545,None,Bioorg. Med. Chem. Lett.,2012,8012564,IC50,CORILAGIN,Unchecked,CHEMBL1942347,BAO_0000019,5.46,Inhibition of Hepatitic C virus NS3/4A protease by FRET assay
CHEMBL612557,Mus musculus,Bioorg. Med. Chem. Lett.,2014,14585513,IC50,CORILAGIN,RAW264.7,CHEMBL3243105,BAO_0000219,4.6,Antiinflammatory activity in mouse RAW264.7 cells assessed as inhibition of LPS-induced nitric oxide production after 18 hrs by griess reaction analysis
CHEMBL612557,Mus musculus,Bioorg. Med. Chem. Lett.,2014,14585532,IC50,CORILAGIN,RAW264.7,CHEMBL3243106,BAO_0000219,4.42,Antiinflammatory activity in mouse RAW264.7 cells assessed as inhibition of LPS-induced TNF-alpha secretion after 18 hrs by sandwich ELISA
