target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL1913,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203007,IC50,None,Platelet-derived growth factor receptor beta,CHEMBL1670766,BAO_0000219,4.68,Inhibition of human recombinant PDGFRbeta expressed in insect cells after 30 mins
CHEMBL1868,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203016,IC50,None,Vascular endothelial growth factor receptor 1,CHEMBL1670771,BAO_0000219,4.48,Inhibition of human recombinant VEGFR1 expressed in Sf9 cells after 10 mins
CHEMBL1936,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203017,IC50,None,Stem cell growth factor receptor,CHEMBL1670767,BAO_0000357,5.89,Inhibition of human recombinant c-kit kinase in cell free system after 30 mins
CHEMBL2007,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203026,IC50,None,Platelet-derived growth factor receptor alpha,CHEMBL1670765,BAO_0000357,7.05,Inhibition of human recombinant PDGFRalpha in cell free system after 60 mins
CHEMBL1974,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203051,IC50,None,Tyrosine-protein kinase receptor FLT3,CHEMBL1670772,BAO_0000219,6.48,Inhibition of human recombinant FLT-3 kinase expressed in insect cells after 90 mins
CHEMBL1955,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203062,IC50,None,Vascular endothelial growth factor receptor 3,CHEMBL1670830,BAO_0000357,6.14,Inhibition of human recombinant VEGFR3 in cell free system after 90 mins
CHEMBL279,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203077,IC50,None,Vascular endothelial growth factor receptor 2,CHEMBL1670833,BAO_0000219,6.51,Inhibition of human recombinant VEGFR2 expressed in Sf9 cells after 60 mins
CHEMBL3587,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203082,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL1670834,BAO_0000219,4.92,Inhibition of human recombinant MEK1 expressed in insect cells after 20 mins
CHEMBL397,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203092,IC50,None,Jurkat,CHEMBL1670835,BAO_0000219,4.89,Antiproliferative activity against human Jurkat cells after 24 hrs by celltiter glo assay
CHEMBL397,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203102,IC50,None,Jurkat,CHEMBL1670836,BAO_0000219,5.01,Antiproliferative activity against human Jurkat cells after 48 hrs by celltiter glo assay
