target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL386,Mus musculus,Bioorg. Med. Chem. Lett.,1997,1265111,IC50,None,L1210,CHEMBL704719,BAO_0000219,10.7,The compound was tested in vitro for cytotoxic activity against L1210 cell line (mouse leukemia)
CHEMBL614177,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265112,IC50,None,MOLT-4,CHEMBL728519,BAO_0000219,9.15,The compound was tested in vitro for cytotoxic activity against Molt-4 cell line (human T-cell leukemia)
CHEMBL383,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265113,IC50,None,HL-60,CHEMBL689902,BAO_0000219,7.1,The compound was tested in vitro for cytotoxic activity against HL-60 cell line (human promyelomic leukemia)
CHEMBL381,Mus musculus,Bioorg. Med. Chem. Lett.,1997,1265114,IC50,None,B16,CHEMBL651065,BAO_0000219,9.4,The compound was tested in vitro for cytotoxic activity against B-16 cell line (mouse melanoma)
CHEMBL614919,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265115,IC50,None,SK-MEL-28,CHEMBL802901,BAO_0000219,9.0,The compound was tested in vitro for cytotoxic activity against SK-MEL 28 cell line (human melanoma)
CHEMBL3879801,None,Bioorg. Med. Chem. Lett.,1997,1265116,IC50,None,NON-PROTEIN TARGET,CHEMBL708728,BAO_0000219,9.4,The compound was tested in vitro for cytotoxic activity against M24-MET cell line (human metastatic melanoma)
CHEMBL614072,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265117,IC50,None,BT-549,CHEMBL856055,BAO_0000219,9.0,The compound was tested in vitro for cytotoxic activity against BT-549 cell line (human breast carcinoma)
CHEMBL387,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265118,IC50,None,MCF7,CHEMBL710413,BAO_0000219,6.52,The compound was tested in vitro for cytotoxic activity against MCF-7 cell line (human breast carcinoma)
CHEMBL614213,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265119,IC50,None,OVCAR-3,CHEMBL752434,BAO_0000219,8.4,The compound was tested in vitro for cytotoxic activity against OVCAR-3 cell line (human ovarian carcinoma)
CHEMBL390,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265120,IC50,None,PC-3,CHEMBL761160,BAO_0000219,9.7,The compound was tested in vitro for cytotoxic activity against PC-3 cell line (human prostate carcinoma)
CHEMBL612542,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265121,IC50,None,SiHa,CHEMBL805757,BAO_0000219,9.52,The compound was tested in vitro for cytotoxic activity against SIHA cell line (human cervix carcinoma)
CHEMBL613102,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265122,IC50,None,786-0,CHEMBL883801,BAO_0000219,8.1,The compound was tested in vitro for cytotoxic activity against 786-O cell line (human perirenal carcinoma)
CHEMBL614573,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265123,IC50,None,H322,CHEMBL686759,BAO_0000219,7.7,The compound was tested in vitro for cytotoxic activity against H 322 cell line (human lung adenocarcinoma)
CHEMBL3879801,None,Bioorg. Med. Chem. Lett.,1997,1265124,IC50,None,NON-PROTEIN TARGET,CHEMBL873377,BAO_0000219,8.0,The compound was tested in vitro for cytotoxic activity against UCLA-P3 cell line (human lung adenocarcinoma)
CHEMBL384,Homo sapiens,Bioorg. Med. Chem. Lett.,1997,1265125,IC50,None,HT-29,CHEMBL691585,BAO_0000219,9.0,The compound was tested in vitro for cytotoxic activity against HT-29 cell line (human colon adenocarcinoma)
