target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL4247,Homo sapiens,ACS Med. Chem. Lett.,2011,5152455,IC50,None,ALK tyrosine kinase receptor,CHEMBL1656371,BAO_0000357,5.46,Inhibition of ALK by TR-FRET based LanthaScreen assay
CHEMBL2964,Homo sapiens,ACS Med. Chem. Lett.,2011,5152460,IC50,None,Dual specificity mitogen-activated protein kinase kinase 2,CHEMBL1656376,BAO_0000357,5.17,Inhibition of MEK2 by TR-FRET based LanthaScreen assay
CHEMBL612545,None,ACS Med. Chem. Lett.,2011,5152463,IC50,None,Unchecked,CHEMBL1656379,BAO_0000019,7.02,Inhibition of PDGFRalpha V561D mutant by TR-FRET based LanthaScreen assay
CHEMBL279,Homo sapiens,ACS Med. Chem. Lett.,2011,5152466,IC50,None,Vascular endothelial growth factor receptor 2,CHEMBL1656382,BAO_0000357,6.77,Inhibition of VEGFR2 by TR-FRET based LanthaScreen assay
CHEMBL1936,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203010,IC50,None,Stem cell growth factor receptor,CHEMBL1670767,BAO_0000357,5.39,Inhibition of human recombinant c-kit kinase in cell free system after 30 mins
CHEMBL2007,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203022,IC50,None,Platelet-derived growth factor receptor alpha,CHEMBL1670765,BAO_0000357,6.36,Inhibition of human recombinant PDGFRalpha in cell free system after 60 mins
CHEMBL1913,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203042,IC50,None,Platelet-derived growth factor receptor beta,CHEMBL1670766,BAO_0000219,4.38,Inhibition of human recombinant PDGFRbeta expressed in insect cells after 30 mins
CHEMBL1974,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203053,IC50,None,Tyrosine-protein kinase receptor FLT3,CHEMBL1670772,BAO_0000219,6.07,Inhibition of human recombinant FLT-3 kinase expressed in insect cells after 90 mins
CHEMBL1955,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203064,IC50,None,Vascular endothelial growth factor receptor 3,CHEMBL1670830,BAO_0000357,5.92,Inhibition of human recombinant VEGFR3 in cell free system after 90 mins
CHEMBL279,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203079,IC50,None,Vascular endothelial growth factor receptor 2,CHEMBL1670833,BAO_0000219,6.27,Inhibition of human recombinant VEGFR2 expressed in Sf9 cells after 60 mins
CHEMBL3587,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203084,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL1670834,BAO_0000219,4.77,Inhibition of human recombinant MEK1 expressed in insect cells after 20 mins
CHEMBL397,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203094,IC50,None,Jurkat,CHEMBL1670835,BAO_0000219,4.58,Antiproliferative activity against human Jurkat cells after 24 hrs by celltiter glo assay
CHEMBL397,Homo sapiens,Bioorg. Med. Chem. Lett.,2011,5203104,IC50,None,Jurkat,CHEMBL1670836,BAO_0000219,4.96,Antiproliferative activity against human Jurkat cells after 48 hrs by celltiter glo assay
