target_chembl_id,target_organism,document_journal,document_year,activity_id,standard_type,molecule_pref_name,target_pref_name,assay_chembl_id,bao_format,pchembl_value,assay_description
CHEMBL614245,Homo sapiens,Bioorg. Med. Chem. Lett.,2010,3292882,IC50,None,THP-1,CHEMBL1114702,BAO_0000219,7.07,Antiinflammatory activity in human THP1 cells assessed as inhibition of LPS-induced TNFalpha production by PLAP reporter assay
CHEMBL3587,Homo sapiens,None,2009,16880685,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3880853,BAO_0000357,8.55,Inhibition of MEK1 (unknown origin) using ERK2 as substrate after 40 mins by ELISA
CHEMBL3587,Homo sapiens,None,2009,16880705,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3880852,BAO_0000357,7.16,Inhibition of MEK1 (unknown origin) using ERK2 as substrate after 40 mins in presence of 100 uM ATP by ELISA
CHEMBL3587,Homo sapiens,None,2009,16880706,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3880851,BAO_0000357,8.0,Inhibition of MEK1 (unknown origin) using ERK2 as substrate after 40 mins in presence of 10 uM ATP by ELISA
CHEMBL1862,Homo sapiens,None,2009,16880716,IC50,None,Tyrosine-protein kinase ABL,CHEMBL3880850,BAO_0000357,6.67,Inhibition of human Abl after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL267,Homo sapiens,None,2009,16880717,IC50,None,Tyrosine-protein kinase SRC,CHEMBL3880849,BAO_0000357,7.04,Inhibition of human c-Src after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL1974,Homo sapiens,None,2009,16880718,IC50,None,Tyrosine-protein kinase receptor FLT3,CHEMBL3880855,BAO_0000357,7.04,Inhibition of human Flt3 after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL1841,Homo sapiens,None,2009,16880719,IC50,None,Tyrosine-protein kinase FYN,CHEMBL3880856,BAO_0000357,7.33,Inhibition of human Fyn after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL3905,Homo sapiens,None,2009,16880720,IC50,None,Tyrosine-protein kinase Lyn,CHEMBL3880857,BAO_0000357,7.46,Inhibition of human Lyn after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL4898,Homo sapiens,None,2009,16880721,IC50,None,Neurotrophic tyrosine kinase receptor type 2,CHEMBL3880858,BAO_0000357,7.58,Inhibition of human TrkB after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL3587,Homo sapiens,None,2009,16880722,IC50,None,Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3880859,BAO_0000357,8.0,Inhibition of human MEK1 after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL3956,Homo sapiens,None,2009,16880723,IC50,None,Mitogen-activated protein kinase kinase kinase 1,CHEMBL3880860,BAO_0000357,7.34,Inhibition of human MEKK1 after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL279,Homo sapiens,None,2009,16880724,IC50,None,Vascular endothelial growth factor receptor 2,CHEMBL3880861,BAO_0000357,6.3,Inhibition of human KDR after 40 mins in presence of [gamma33P-ATP] by scintillation counting
CHEMBL3879801,None,None,2009,16880763,IC50,None,NON-PROTEIN TARGET,CHEMBL3880882,BAO_0000219,6.92,Cytotoxicity against human MDA-MB-231 cells expressing K-ras G13D mutant assessed as reduction in cell viability after 96 hrs by CellTiter-Glo luminescence assay or methylene blue assay
CHEMBL3879801,None,None,2009,16880765,IC50,None,NON-PROTEIN TARGET,CHEMBL3880883,BAO_0000219,7.3,Cytotoxicity against human MDA-MB-435 cells expressing B-RAF V600E mutant assessed as reduction in cell viability after 96 hrs by CellTiter-Glo luminescence assay or methylene blue assay
